PassengerId,Survived
892,0
893,1
894,0
895,0
896,1
897,1
898,1
899,0
900,1
901,1
902,0
903,1
904,0
905,0
906,0
907,0
908,0
909,1
910,1
911,1
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,1
921,0
922,0
923,0
924,0
925,0
926,0
927,1
928,1
929,1
930,0
931,0
932,0
933,1
934,0
935,0
936,0
937,0
938,1
939,0
940,0
941,0
942,0
943,0
944,1
945,0
946,0
947,1
948,0
949,0
950,0
951,0
952,1
953,0
954,1
955,1
956,0
957,0
958,1
959,1
960,1
961,0
962,1
963,1
964,1
965,1
966,0
967,1
968,0
969,0
970,0
971,1
972,1
973,0
974,1
975,0
976,0
977,0
978,1
979,1
980,1
981,0
982,1
983,0
984,0
985,0
986,1
987,0
988,0
989,0
990,1
991,0
992,0
993,0
994,0
995,0
996,1
997,0
998,1
999,0
1000,0
1001,0
1002,0
1003,1
1004,0
1005,1
1006,0
1007,0
1008,0
1009,1
1010,1
1011,0
1012,1
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,1
1020,0
1021,0
1022,0
1023,1
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,1
1031,0
1032,1
1033,0
1034,0
1035,0
1036,1
1037,1
1038,1
1039,0
1040,1
1041,0
1042,0
1043,0
1044,0
1045,0
1046,1
1047,0
1048,0
1049,1
1050,1
1051,0
1052,1
1053,1
1054,0
1055,0
1056,0
1057,1
1058,1
1059,0
1060,0
1061,1
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,0
1079,1
1080,1
1081,0
1082,0
1083,1
1084,1
1085,0
1086,0
1087,0
1088,0
1089,1
1090,0
1091,1
1092,1
1093,0
1094,0
1095,1
1096,0
1097,1
1098,1
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,1
1107,1
1108,1
1109,0
1110,0
1111,0
1112,0
1113,1
1114,0
1115,1
1116,0
1117,0
1118,0
1119,1
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,1
1128,0
1129,1
1130,1
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,1
1142,0
1143,1
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,1
1152,0
1153,1
1154,0
1155,1
1156,0
1157,0
1158,1
1159,0
1160,1
1161,1
1162,1
1163,0
1164,0
1165,1
1166,0
1167,1
1168,0
1169,0
1170,0
1171,0
1172,1
1173,1
1174,1
1175,1
1176,1
1177,0
1178,0
1179,0
1180,0
1181,0
1182,1
1183,1
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,1
1191,0
1192,0
1193,0
1194,0
1195,0
1196,1
1197,0
1198,0
1199,0
1200,0
1201,1
1202,1
1203,0
1204,0
1205,1
1206,0
1207,1
1208,0
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,1
1216,0
1217,0
1218,1
1219,1
1220,0
1221,0
1222,0
1223,1
1224,0
1225,1
1226,0
1227,1
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
1234,0
1235,0
1236,0
1237,1
1238,0
1239,1
1240,0
1241,0
1242,0
1243,0
1244,0
1245,0
1246,0
1247,1
1248,0
1249,0
1250,0
1251,1
1252,1
1253,0
1254,0
1255,0
1256,0
1257,0
1258,0
1259,1
1260,0
1261,0
1262,0
1263,0
1264,1
1265,0
1266,0
1267,0
1268,1
1269,0
1270,1
1271,1
1272,0
1273,0
1274,1
1275,1
1276,0
1277,0
1278,0
1279,0
1280,1
1281,1
1282,1
1283,0
1284,0
1285,0
1286,1
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,0
1294,0
1295,1
1296,0
1297,0
1298,0
1299,0
1300,1
1301,1
1302,1
1303,0
1304,1
1305,0
1306,0
1307,0
1308,0
1309,0
